High,Low,Close,Tr
318.600006,308.700012,318.600006,0
319.559998,313.299988,315.839996,6.26
316.380005,312.75,316.149994,3.63
315.660004,308.730011,310.570007,7.42
310.290009,306.350006,307.779999,4.22
309.380005,304.920013,305.820007,4.46
307.48999,305.089996,305.98999,2.4
308.339996,304.709991,306.390015,3.63
311.910004,305.459991,311.450012,6.45
318.910004,310.820007,312.329987,8.09
316.359985,308.399994,309.290009,7.96
306.959991,299.450012,301.910004,9.84
302.470001,297.76001,300,4.71
301.480011,297.149994,300.029999,4.33